Cogs,Cogs - Split 2,Country,Date,Discount Band,Discounts,Gross Sales,Manufacturing Price,Month Name,Month Number,Product,Profit,Sale Price,Sales,Segment,Units Sold,Year,Year (copy),Avg Discounts ,COGS to Sales,Discounts - Split 2,Gross Sales - Split 2,Profit - Split 2,Profit Margin,Sales - Split 2,Total Discounts,Total Revenue,Units Sold - Split 2
" $16,185.00 ",16185,Canada,01-01-2014,None,$-," $32,370.00 ",$3.00,January,1,Carretera," $16,185.00 ",$20.00," $32,370.00 ",Government," $1,618.50 ",2014,2014,,0.5,,32370,16185,0.5,32370,,32370,1618.5
" $13,210.00 ",13210,Germany,01-01-2014,None,$-," $26,420.00 ",$3.00,January,1,Carretera," $13,210.00 ",$20.00," $26,420.00 ",Government," $1,321.00 ",2014,2014,,0.5,,26420,13210,0.5,26420,,26420,1321
" $21,780.00 ",21780,France,06-01-2014,None,$-," $32,670.00 ",$3.00,June,6,Carretera," $10,890.00 ",$15.00," $32,670.00 ",Midmarket," $2,178.00 ",2014,2014,,0.666666667,,32670,10890,0.333333333,32670,,32670,2178
" $8,880.00 ",8880,Germany,06-01-2014,None,$-," $13,320.00 ",$3.00,June,6,Carretera," $4,440.00 ",$15.00," $13,320.00 ",Midmarket,$888.00,2014,2014,,0.666666667,,13320,4440,0.333333333,13320,,13320,888
" $24,700.00 ",24700,Mexico,06-01-2014,None,$-," $37,050.00 ",$3.00,June,6,Carretera," $12,350.00 ",$15.00," $37,050.00 ",Midmarket," $2,470.00 ",2014,2014,,0.666666667,,37050,12350,0.333333333,37050,,37050,2470
" $393,380.00 ",393380,Germany,12-01-2014,None,$-," $529,550.00 ",$3.00,December,12,Carretera," $136,170.00 ",$350.00," $529,550.00 ",Government," $1,513.00 ",2014,2014,,0.742857143,,529550,136170,0.257142857,529550,,529550,1513
" $9,210.00 ",9210,Germany,03-01-2014,None,$-," $13,815.00 ",$5.00,March,3,Montana," $4,605.00 ",$15.00," $13,815.00 ",Midmarket,$921.00,2014,2014,,0.666666667,,13815,4605,0.333333333,13815,,13815,921
" $7,554.00 ",7554,Canada,06-01-2014,None,$-," $30,216.00 ",$5.00,June,6,Montana," $22,662.00 ",$12.00," $30,216.00 ",Channel Partners," $2,518.00 ",2014,2014,,0.25,,30216,22662,0.75,30216,,30216,2518
" $18,990.00 ",18990,France,06-01-2014,None,$-," $37,980.00 ",$5.00,June,6,Montana," $18,990.00 ",$20.00," $37,980.00 ",Government," $1,899.00 ",2014,2014,,0.5,,37980,18990,0.5,37980,,37980,1899
" $4,635.00 ",4635,Germany,06-01-2014,None,$-," $18,540.00 ",$5.00,June,6,Montana," $13,905.00 ",$12.00," $18,540.00 ",Channel Partners," $1,545.00 ",2014,2014,,0.25,,18540,13905,0.75,18540,,18540,1545
" $24,700.00 ",24700,Mexico,06-01-2014,None,$-," $37,050.00 ",$5.00,June,6,Montana," $12,350.00 ",$15.00," $37,050.00 ",Midmarket," $2,470.00 ",2014,2014,,0.666666667,,37050,12350,0.333333333,37050,,37050,2470
" $319,860.00 ",319860,Canada,07-01-2014,None,$-," $333,187.50 ",$5.00,July,7,Montana," $13,327.50 ",$125.00," $333,187.50 ",Enterprise," $2,665.50 ",2014,2014,,0.96,,333187.5,13327.5,0.04,333187.5,,333187.5,2665.5
" $239,500.00 ",239500,Mexico,08-01-2014,None,$-," $287,400.00 ",$5.00,August,8,Montana," $47,900.00 ",$300.00," $287,400.00 ",Small Business,$958.00,2014,2014,,0.833333333,,287400,47900,0.166666667,287400,,287400,958
" $10,730.00 ",10730,Germany,09-01-2014,None,$-," $15,022.00 ",$5.00,September,9,Montana," $4,292.00 ",$7.00," $15,022.00 ",Government," $2,146.00 ",2014,2014,,0.714285714,,15022,4292,0.285714286,15022,,15022,2146
" $41,400.00 ",41400,Canada,10-01-2013,None,$-," $43,125.00 ",$5.00,October,10,Montana," $1,725.00 ",$125.00," $43,125.00 ",Enterprise,$345.00,2013,2013,,0.96,,43125,1725,0.04,43125,,43125,345
" $6,150.00 ",6150,United States of America,12-01-2014,None,$-," $9,225.00 ",$5.00,December,12,Montana," $3,075.00 ",$15.00," $9,225.00 ",Midmarket,$615.00,2014,2014,,0.666666667,,9225,3075,0.333333333,9225,,9225,615
" $2,920.00 ",2920,Canada,02-01-2014,None,$-," $5,840.00 ",$10.00,February,2,Paseo," $2,920.00 ",$20.00," $5,840.00 ",Government,$292.00,2014,2014,,0.5,,5840,2920,0.5,5840,,5840,292
" $9,740.00 ",9740,Mexico,02-01-2014,None,$-," $14,610.00 ",$10.00,February,2,Paseo," $4,870.00 ",$15.00," $14,610.00 ",Midmarket,$974.00,2014,2014,,0.666666667,,14610,4870,0.333333333,14610,,14610,974
" $7,554.00 ",7554,Canada,06-01-2014,None,$-," $30,216.00 ",$10.00,June,6,Paseo," $22,662.00 ",$12.00," $30,216.00 ",Channel Partners," $2,518.00 ",2014,2014,,0.25,,30216,22662,0.75,30216,,30216,2518
" $261,560.00 ",261560,Germany,06-01-2014,None,$-," $352,100.00 ",$10.00,June,6,Paseo," $90,540.00 ",$350.00," $352,100.00 ",Government," $1,006.00 ",2014,2014,,0.742857143,,352100,90540,0.257142857,352100,,352100,1006
" $1,101.00 ",1101,Germany,07-01-2014,None,$-," $4,404.00 ",$10.00,July,7,Paseo," $3,303.00 ",$12.00," $4,404.00 ",Channel Partners,$367.00,2014,2014,,0.25,,4404,3303,0.75,4404,,4404,367
" $4,415.00 ",4415,Mexico,08-01-2014,None,$-," $6,181.00 ",$10.00,August,8,Paseo," $1,766.00 ",$7.00," $6,181.00 ",Government,$883.00,2014,2014,,0.714285714,,6181,1766,0.285714286,6181,,6181,883
" $5,490.00 ",5490,France,09-01-2013,None,$-," $8,235.00 ",$10.00,September,9,Paseo," $2,745.00 ",$15.00," $8,235.00 ",Midmarket,$549.00,2013,2013,,0.666666667,,8235,2745,0.333333333,8235,,8235,549
" $197,000.00 ",197000,Mexico,09-01-2013,None,$-," $236,400.00 ",$10.00,September,9,Paseo," $39,400.00 ",$300.00," $236,400.00 ",Small Business,$788.00,2013,2013,,0.833333333,,236400,39400,0.166666667,236400,,236400,788
" $24,720.00 ",24720,Mexico,09-01-2014,None,$-," $37,080.00 ",$10.00,September,9,Paseo," $12,360.00 ",$15.00," $37,080.00 ",Midmarket," $2,472.00 ",2014,2014,,0.666666667,,37080,12360,0.333333333,37080,,37080,2472
